id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2078,Central comfy close to Metro Laurie,2277,Nelia,,Le Plateau-Mont-Royal,45.53069,-73.58588,Private room,39,2,245,2018-09-23,2.41,1,226
2843,Fabulous downtown/airport room,2319,Gail,,Le Sud-Ouest,45.48442,-73.57923,Private room,30,1,143,2019-12-30,1.11,5,18
14584,"Spread Out in 1,200 Square Feet of Luxury in the Plateau",57358,Verona,,Le Plateau-Mont-Royal,45.54135,-73.57814,Entire home/apt,175,3,171,2019-11-29,1.63,1,363
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51888,-73.56546,Entire home/apt,81,2,319,2020-01-03,2.74,2,318
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.5202,-73.56422,Entire home/apt,145,3,65,2020-01-01,0.68,2,344
31847,Downtown/Airport room,2319,Gail,,Le Sud-Ouest,45.48358,-73.57892,Private room,30,1,151,2019-10-02,1.30,5,354
34715,Chez Patrac ! Métro Beaubien,149769,Alain,,Rosemont-La Petite-Patrie,45.5384,-73.60355,Entire home/apt,140,4,4,2011-09-12,0.04,1,275
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.52836,-73.58342,Entire home/apt,140,3,37,2019-11-22,0.65,7,365
38118,Beautiful room  with a balcony in front of a parc,163569,M.,,Ville-Marie,45.52671,-73.55917,Private room,50,1,14,2019-09-15,0.14,3,365
41819,Comfortable 2 B/R Downtown Montreal,2319,Gail,,Le Sud-Ouest,45.4843,-73.57939,Entire home/apt,101,1,395,2020-01-01,3.44,5,0
41859,WiFi-PRIVATE apartments Furn dwtn,182949,Zhang,,Mercier-Hochelaga-Maisonneuve,45.54571,-73.53853,Entire home/apt,37,30,16,2015-08-05,0.14,4,165
46626,Charming MtlHomestay Accommodation!,208453,Maureen,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46834,-73.60695,Private room,55,3,20,2019-09-12,0.19,2,365
50479,L'Arcade Douce,231694,Noémie,,Rosemont-La Petite-Patrie,45.54186,-73.60624,Entire home/apt,85,2,106,2020-01-09,0.94,1,36
52573,Hidden treasure on the Plateau,123488,Antoine,,Le Plateau-Mont-Royal,45.52908,-73.57499,Entire home/apt,101,7,46,2019-08-10,0.42,1,167
53471,Modern Loft in Renovated Bank,248915,Luc,,Rosemont-La Petite-Patrie,45.55704,-73.57252,Private room,80,3,64,2019-10-14,0.57,2,0
58484,Bright Open Concept 2 Storey Home,279906,Chris,,Le Plateau-Mont-Royal,45.51979,-73.57737,Entire home/apt,198,5,20,2019-09-02,0.19,1,192
60268,Furnished bedroom and private bath-newly renovated,283339,Kimberley,,Dorval,45.44239,-73.76493,Private room,40,1,79,2019-12-03,1.15,1,365
60585,Sunny single room on the Plateau ,292127,Valeria,,Le Plateau-Mont-Royal,45.52926,-73.58616,Private room,35,1,92,2016-01-02,0.94,1,0
66247,Large Loft in Historic Old Montreal,318040,Seb,,Ville-Marie,45.50475,-73.55574,Entire home/apt,110,14,264,2019-07-19,2.40,53,51
66249,** Chinatown & Financial District **,318040,Seb,,Ville-Marie,45.51034,-73.56874,Entire home/apt,85,1,213,2019-12-30,1.94,53,301
